sid,sname,date,punishment_amount,punishment_type,conductor,object
000002,万科A,2014-10-10,--,其他,中国证券监督管理委员会,时任交银施罗德基金管理有限公司基金经理郑拓
000004,国华网安,2018-12-14,--,其他,深圳证券交易所,本公司
000004,国华网安,2018-08-22,58.0000万元,罚款，警告，行政处罚,中国证券监督管理委员会深圳监管局,本公司，时任董事长江玉明，时任总经理李林琳，时任董事会秘书杨斌
000004,国华网安,2017-10-25,333.4900万元,罚款，警告，行政处罚，其他,中国证券监督管理委员会,广州穗富投资管理有限公司，易向军，周岭松
000004,国华网安,2010-01-30,--,通报批评,中国证券监督管理委员会深圳监管局,深圳中国农大科技股份有限公司、董事会、王克昕
000007,全新好,2020-11-13,--,责令改正,中国证券监督管理委员会深圳监管局,公司股东汉富控股有限公司
000007,全新好,2020-08-11,60.0000万元,罚款，警告，行政处罚,中国证券监督管理委员会深圳监管局,公司原实际控制人练卫飞
000007,全新好,2020-08-05,--,通报批评,深圳证券交易所,时任本公司控股股东刘红
000007,全新好,2019-03-12,--,其他,中国证券监督管理委员会深圳监管局,本公司，公司关联方唐小宏
000007,全新好,2016-05-09,--,公开谴责，通报批评，其他,深圳证券交易所,本公司，公司原实际控制人、时任董事长练卫飞，时任董事、代董事长、总经理叶健勇，时任董事会秘书冯军武，时任董事、总经理柴宝亭，时任独立董事陈亮，时任总会计师赵谦，时任副总经理、财务总监黄晓峰
000007,全新好,2016-02-26,80.0000万元,罚款，警告，责令改正，行政处罚,中国证券监督管理委员会深圳监管局,本公司，公司控股股东广州博融投资有限公司，公司实际控制人练卫飞，公司董事、资金部负责人叶健勇
000007,全新好,2015-12-23,115.0000万元,罚款，警告，行政处罚,中国证券监督管理委员会,本公司，公司时任董事长、法定代表人练卫飞，时任董事或高级管理人员柴宝亭、叶健勇、黄晓峰、陈亮、冯军武，广众投资董事长刘彩荣，广众投资总经理戴光
000007,全新好,2015-10-28,--,其他,中国证券监督管理委员会深圳监管局,本公司
000007,全新好,2015-08-08,60.0000万元,罚款，警告，责令改正，行政处罚,中国证券监督管理委员会深圳监管局,股东刘榕
000007,全新好,2015-08-05,--,公开谴责,深圳证券交易所,深圳市零七股份有限公司股东刘榕
000007,全新好,2015-05-26,--,责令改正，责令整改,中国证券监督管理委员会深圳监管局,本公司
000007,全新好,2015-03-19,--,通报批评,深圳证券交易所,本公司，本公司实际控制人兼时任董事长练卫飞，总会计师赵谦
000007,全新好,2014-09-30,--,责令改正，其他,中国证券监督管理委员会深圳监管局,本公司
000007,全新好,2014-08-28,--,公开谴责，通报批评,深圳证券交易所,本公司，公司控股股东广州博融，公司实际控制人练卫飞，时任董事兼副总经理刘滔
000007,全新好,2014-06-18,80.0000万元,罚款，警告，行政处罚,中国证券监督管理委员会深圳监管局,本公司，董事长练卫飞，原副总经理刘滔
000007,全新好,2013-09-04,--,通报批评,深圳证券交易所,本公司，董事长练卫飞，副董事长李成碧，董事兼总经理黄晓峰，总会计师赵谦，董事会秘书智德宇
000007,全新好,2012-01-18,--,通报批评,深圳证券交易所,公司董事长练卫飞
000008,神州高铁,2018-05-30,--,其他,全国中小企业股份转让系统有限责任公司,本公司
000008,神州高铁,2013-04-15,30.0000万元,罚款，警告,中国证券监督管理委员会,公司股东张东良
000009,中国宝安,2018-02-12,--,责令改正，行政处罚,中国证券监督管理委员会深圳监管局,本公司
000009,中国宝安,2011-06-15,--,通报批评,深圳证券交易所,中国宝安集团股份有限公司，公司营运总裁贺德华，营运总裁兼董事会秘书娄兵
